Año,RBD,Colegio,Comuna,Nivel,Region,IVE,Rural,MATRICULA_BASICA_MEDIA,Dependencia,GSE,Autoestima académica y motivación escolar,Clima de convivencia escolar,Participación y formación ciudadana,Hábitos de vida saludables,Simce Lenguaje,Len Nivel Insuficiente,Len Nivel Elemental,Len Nivel Adecuado,Simce Matemática,Mat Nivel Insuficiente,Mat Nivel Elemental,Mat Nivel Adecuado,Autopercepción y autovaloración académica,Motivación escolar,Sentido de pertenencia,Vida democrática,Hábitos de autocuidado,Hábitos alimenticios,Hábitos de vida activa,Ambiente de respeto,Ambiente organizado,Ambiente seguro,Participación
2023,14671,COLEGIO TIERRA DEL FUEGO,Quillota,II medio,Región de Valparaíso,0.806818181818182,Urbano,958,Part. subvencionado,Medio,75.0,69.0,74.0,71.0,247.0,52,30,18,248.0,55.8,38.5,5.8,74,76,72,77,66,83,64,62,75,70,73
2023,22433,ESCUELA PARTICULAR PUERTO ESPERANZA,Los Muermos,4 básico,Región de Los Lagos,0.988888888888889,Rural,146,Part. subvencionado,Bajo,73.0,74.0,79.0,73.0,245.0,47.1,29.4,23.5,238.0,76.5,17.6,5.9,72,74,80*,76*,63*,84*,65*,67,80*,74*,80*
2023,22452,COLEGIO MOUNTAIN GREEN SCHOOL,Panguipulli,4 básico,Región de Los Ríos,0.991666666666667,Rural,151,Part. subvencionado,Bajo,67.0,73.0,72.0,58.0,247.0,«,«,«,232.0,«,«,«,63,71,72,69,49,75,50,68,79,71,75
2023,20103,LICEO MUNICIPAL LUMACO,Lumaco,II medio,Región de La Araucanía,0.937086092715232,Urbano,303,Municipal,Bajo,75.0,74.0,77.0,72.0,217.0,70.1,22.4,7.5,221.0,77.9,14.7,7.4,73,77,76,78,73,79,65,69,81,73,77
2023,7181,COLEGIO SANTA MARTA,La Unión,4 básico,Región de Los Ríos,0.550279329608939,Urbano,625,Part. subvencionado,Medio alto,71.0,76.0,77.0,73.0,285.0,11.9,40.5,47.6,268.0,25.6,51.2,23.3,69,73,80,83,75,81,63,70,83,75,69
2023,7181,COLEGIO SANTA MARTA,La Unión,II medio,Región de Los Ríos,0.625,Urbano,625,Part. subvencionado,Medio,74.0,85.0,84.0,73.0,277.0,21.6,40.5,37.8,274.0,28.9,63.2,7.9,72,77,82,88,73,84,62,76,94,86,83
2023,7802,ESCUELA RURAL SAN JOSE,Calbuco,4 básico,Región de Los Lagos,0.917525773195876,Rural,212,Municipal,Medio bajo,74.0,72.0,74.0,69.0,236.0,54.2,37.5,8.3,220.0,69.6,26.1,4.3,70,78,75,69,70,72,65,66,80,71,79
2023,8956,COLEGIO LATINOAMERICANO DE INTEGRACION,Providencia,4 básico,,,,228,Particular pagado,Alto,63.0,79.0,73.0,67.0,300.0,0,27.3,72.7,273.0,27.3,36.4,36.4,65,61,66,74,71,73,58,74,82,80,78
2023,8956,COLEGIO LATINOAMERICANO DE INTEGRACION,Providencia,II medio,,,,228,Particular pagado,Alto,76.0,73.0,80.0,67.0,279.0,«,«,«,228.0,«,«,«,72,81,72,80,69,71,62,71,81,68,88
2023,24769,COLEGIO SAN ISAAC JOGUES,Quilicura,4 básico,Región Metropolitana de Santiago,0.766116941529235,Urbano,1135,Part. subvencionado,Medio,66.0,71.0,71.0,65.0,266.0,30.3,31.6,38.2,250.0,50.6,32.5,16.9,62,69,74,72,64,75,56,66,76,72,67
2023,24769,COLEGIO SAN ISAAC JOGUES,Quilicura,II medio,Región Metropolitana de Santiago,0.731617647058824,Urbano,1135,Part. subvencionado,Medio bajo,76.0,77.0,76.0,69.0,248.0,53.8,26.9,19.2,253.0,51.9,32.9,15.2,74,77,75,81,68,80,61,68,84,77,73
2023,11931,CENTRO EDUC.PART.ORDEN DE SAN JORGE,San Bernardo,4 básico,Región Metropolitana de Santiago,0.904347826086957,Urbano,810,Part. subvencionado,Medio bajo,67.0,67.0,69.0,64.0,254.0,32.8,45.9,21.3,219.0,75.4,18.5,6.2,64,70,70,69,60,77,56,62,74,66,69
2023,11931,CENTRO EDUC.PART.ORDEN DE SAN JORGE,San Bernardo,II medio,Región Metropolitana de Santiago,0.926553672316384,Urbano,810,Part. subvencionado,Bajo,69.0,70.0,76.0,73.0,225.0,71.2,18.6,10.2,204.0,85.9,14.1,0,67,72,73,79,76,81,63,61,78,72,74
2023,3267,ESCUELA GRACIELA LETELIER,Linares,4 básico,Región del Maule,0.935334872979215,Rural,484,Municipal,Medio bajo,77.0,80.0,80.0,74.0,255.0,42.1,15.8,42.1,255.0,38.5,46.2,15.4,74,80,82,81,71,84,68,74,87,80,76
2023,2604,ESCUELA PENABLANCA,PUMANQUE,4 básico,Región del Libertador Gral. Bernardo O’Higgins,0.857142857142857,Rural,7,Municipal,Medio bajo,76.0,82.0,79.0,73.0,236.0,«,«,«,218.0,«,«,«,80,71,68,87,73,67,80,75,95,76,82
2023,10643,ESCUELA VILLASECA,BUIN,4 básico,Región Metropolitana de Santiago,0.825,Urbano,339,Municipal,Medio,74.0,76.0,81.0,74.0,264.0,20,46.7,33.3,227.0,73.3,23.3,3.3,70,78,82,84,73,80,70,71,82,76,76
2023,3364,ESCUELA LUIS PEREIRA INIGUEZ,Longaví,4 básico,Región del Maule,0.945945945945946,Rural,62,Municipal,Bajo,84.0,81.0,91.0,80.0,267.0,«,«,«,245.0,«,«,«,84,84,92,91,84,89,68,75,93,76,90
2023,2136,ESCUELA MUNICIPAL ISABEL RIQUELME,Rancagua,4 básico,Región del Libertador Gral. Bernardo O’Higgins,0.730290456431535,Urbano,306,Municipal,Medio,80.0,78.0,83.0,75.0,291.0,11.1,36.1,52.8,273.0,37.1,25.7,37.1,78,82,85,87,76,79,71,72,83,80,79
2023,3285,ESCUELA LLANKANAO MANUEL FRANCISCO MEZA SECO,Linares,4 básico,Región del Maule,0.969512195121951,Rural,196,Municipal,Bajo,78.0,75.0,78.0,70.0,238.0,55,20,25,224.0,61.9,38.1,0,75,80,78,79,70,72,68,67,85,74,76
2023,10252,LICEO ARTURO PEREZ CANTO,Recoleta,4 básico,Región Metropolitana de Santiago,0.876971608832808,Urbano,650,Municipal,Medio bajo,76.0,74.0,74.0,67.0,240.0,54.8,22.6,22.6,228.0,57.6,39.4,3,72,81,73,71,69,70,61,68,81,71,78
2023,10252,LICEO ARTURO PEREZ CANTO,Recoleta,II medio,Región Metropolitana de Santiago,0.844036697247707,Urbano,650,Municipal,Medio bajo,80.0,78.0,84.0,74.0,219.0,75,18.2,6.8,203.0,82.9,14.6,2.4,78,81,81,87,74,80,70,71,85,78,83
2023,1249,ESCUELA BASICA PEDRO AGUIRRE CERDA,CALLE LARGA,4 básico,Región de Valparaíso,0.879781420765027,Urbano,226,Municipal,Medio,74.0,82.0,84.0,74.0,269.0,38.9,22.2,38.9,238.0,50,33.3,16.7,71,76,82,86,77,78,67,73,88,85,83
2023,9250,COLEGIO CALASANZ,ÑUÑOA,4 básico,,,,1278,Particular pagado,Alto,72.0,77.0,80.0,69.0,296.0,13.3,29.5,57.1,290.0,15,38.3,46.7,71,73,82,83,68,77,62,72,83,77,76
2023,9250,COLEGIO CALASANZ,ÑUÑOA,II medio,,,,1278,Particular pagado,Alto,72.0,76.0,80.0,66.0,283.0,17.8,42.6,39.6,322.0,7.1,41.4,51.5,72,72,82,80,62,77,60,72,82,76,76
2023,1340,ESCUELA HERMINIA ORTEGA DE CROXATO,LLAILLAY,4 básico,Región de Valparaíso,0.926666666666667,Urbano,171,Municipal,Medio,72.0,76.0,74.0,63.0,236.0,50,28.6,21.4,232.0,71.4,14.3,14.3,70,75,71,71,60,76,53,68,88,72,78
2023,5833,ESC. BASICA REWE KIMUN,Lautaro,4 básico,Región de La Araucanía,0.955223880597015,Rural,52,Municipal,Medio bajo,80.0,76.0,88.0,67.0,,«,«,«,,«,«,«,73,87,89,91,68,67,67,72,81,74,84
2023,254,FUNDACION EDUCACIONAL COLEGIO NUESTRA SEÑORA DE AYQUINA,Calama,4 básico,Región de Antofagasta,0.618343195266272,Urbano,916,Part. subvencionado,Medio,80.0,77.0,83.0,76.0,276.0,28.2,23.1,48.7,247.0,50,45,5,78,82,82,85,76,83,69,70,83,79,81
2023,254,FUNDACION EDUCACIONAL COLEGIO NUESTRA SEÑORA DE AYQUINA,Calama,II medio,Región de Antofagasta,0.629955947136564,Urbano,916,Part. subvencionado,Medio,82.0,80.0,85.0,75.0,274.0,25.8,39.4,34.8,267.0,41.2,45.6,13.2,79,85,82,90,76,83,64,73,91,75,84
2023,10172,ESC BAS PART CENTRO EDUCACIONAL SN PABLO,CERRO NAVIA,4 básico,Región Metropolitana de Santiago,0.899653979238754,Urbano,349,Part. subvencionado,Medio bajo,75.0,79.0,85.0,76.0,260.0,35.5,25.8,38.7,249.0,38.7,51.6,9.7,70,79,82,91,81,80,67,70,84,84,81
2023,9165,ESCUELA BAS. N_ 850 SANTA SOFIA,PEÑALOLÉN,4 básico,Región Metropolitana de Santiago,0.927125506072875,Urbano,310,Part. subvencionado,Bajo,68.0,67.0,69.0,62.0,234.0,60,20,20,234.0,65.2,30.4,4.3,66,71,67,66,60,71,54,62,73,66,75
2023,22255,COLEGIO ADOLFO KOLPING,Osorno,4 básico,Región de Los Lagos,0.91025641025641,Urbano,177,Part. subvencionado,Medio,80.0,79.0,86.0,80.0,253.0,43.8,25,31.3,249.0,37.5,56.3,6.3,75,84,88,91,84,80,75,73,88,77,79
2023,14308,COLEGIO ITALIANO SAN PEDRO,Quillota,4 básico,Región de Valparaíso,0.886075949367089,Urbano,273,Part. subvencionado,Medio bajo,65.0,69.0,69.0,61.0,263.0,39.1,21.7,39.1,280.0,27.3,31.8,40.9,64,67,67,67,62,70,51,61,78,67,72
2023,4210,ESCUELA BASICA COYANCO,Los Ángeles,4 básico,Región del Biobío,0.951612903225807,Rural,57,Municipal,Bajo,74.0,72.0,71.0,65.0,210.0,«,«,«,244.0,«,«,«,73,74,67,64,64,63,68,67,78,72,81
2023,9740,ESCUELA BASICA REPUBLICA DE LAS FILIPINAS,LO ESPEJO,4 básico,Región Metropolitana de Santiago,0.92090395480226,Urbano,210,Municipal,Medio bajo,71.0,74.0,74.0,71.0,256.0,31.3,50,18.8,249.0,29.4,64.7,5.9,67,75,77,73,67,77,68,68,82,73,71
2023,6692,ESCUELA PARTICULAR ARTURO PRAT,Cholchol,4 básico,Región de La Araucanía,0.92156862745098,Rural,65,Part. subvencionado,Bajo,67.0,71.0,69.0,60.0,257.0,«,«,«,224.0,«,«,«,61,73,72,66,60,63,57,65,81,69,70
2023,6500,COMPLEJO EDUCACIONAL DARÍO SALAS,Carahue,4 básico,Región de La Araucanía,0.853543307086614,Urbano,1219,Servicio local de educación,Medio,73.0,75.0,78.0,71.0,261.0,37.7,26.2,36.1,253.0,45.9,34.4,19.7,72,75,81,80,69,76,67,70,81,74,75
2023,6500,COMPLEJO EDUCACIONAL DARÍO SALAS,Carahue,II medio,Región de La Araucanía,0.900212314225053,Urbano,1219,Servicio local de educación,Medio bajo,75.0,72.0,79.0,71.0,242.0,53.8,35,11.3,250.0,51.2,38.1,10.7,72,77,78,81,70,78,66,66,77,73,77
2023,22184,ESCUELA PARTICULAR RUBEN BASTIDAS,Maullín,4 básico,Región de Los Lagos,0.916666666666667,Rural,29,Part. subvencionado,Medio,88.0,85.0,88.0,,256.0,«,«,«,244.0,«,«,«,83*,92*,94*,90*,75*,*,-,81*,92*,83*,81*
2023,12550,OASIS EN EL DESIERTO,Pozo Almonte,4 básico,Región de Tarapacá,0.782608695652174,Rural,74,Municipal,Bajo,82.0,77.0,87.0,71.0,260.0,«,«,«,266.0,«,«,«,79,85,88,88,66,81,66,69,84,77,83
2023,8893,COLEGIO INTERNACIONAL SEK CHILE,Las Condes,4 básico,,,,1615,Particular pagado,Alto,73.0,77.0,74.0,71.0,315.0,6.3,14.4,79.3,316.0,5.3,23.9,70.8,73,73,79,72,71,80,63,73,82,75,70
2023,8893,COLEGIO INTERNACIONAL SEK CHILE,Las Condes,II medio,,,,1615,Particular pagado,Alto,74.0,78.0,80.0,69.0,299.0,14.3,24.5,61.2,344.0,6,26,68,73,74,79,76,71,80,58,73,83,76,83
2023,10649,ESCUELA HUMBERTO MORENO RAMIREZ,BUIN,4 básico,Región Metropolitana de Santiago,0.933908045977012,Rural,419,Municipal,Medio bajo,82.0,78.0,83.0,72.0,235.0,55.6,22.2,22.2,231.0,65.7,25.7,8.6,81,84,80,87,74,77,67,74,85,75,82
2023,14580,COLEGIO BOSTON,VILLA ALEMANA,4 básico,Región de Valparaíso,0.845744680851064,Urbano,326,Part. subvencionado,Medio,78.0,79.0,82.0,79.0,284.0,22.2,16.7,61.1,279.0,15.8,47.4,36.8,77,79,80,84,78,87,71,70,88,79,82
2023,14580,COLEGIO BOSTON,VILLA ALEMANA,II medio,Región de Valparaíso,0.834862385321101,Urbano,326,Part. subvencionado,Medio bajo,81.0,84.0,85.0,72.0,242.0,63.6,22.7,13.6,246.0,70.6,17.6,11.8,79,83,86,85,70,77,67,77,91,83,85
2023,12646,COSTA COLLEGE,Iquique,4 básico,,,,336,Particular pagado,Alto,74.0,71.0,75.0,69.0,278.0,25,21.4,53.6,257.0,33.3,48.1,18.5,73,76,75,78,74,70,62,67,75,71,71
2023,12646,COSTA COLLEGE,Iquique,II medio,,,,336,Particular pagado,Alto,76.0,74.0,75.0,63.0,268.0,32.1,50,17.9,260.0,51.9,25.9,22.2,77,76,77,74,59,71,57,71,77,75,75
2023,16506,ESCUELA CHACARILLAS,CONSTITUCIÓN,4 básico,Región del Maule,0.922509225092251,Urbano,339,Municipal,Bajo,75.0,76.0,79.0,70.0,267.0,33.3,19.4,47.2,257.0,41.7,41.7,16.7,71,78,76,82,70,76,65,69,85,75,80
2023,7304,ESCUELA RURAL CALCURRUPE,Lago Ranco,4 básico,Región de Los Ríos,1.0,Rural,21,Municipal,Bajo,66.0,54.0,59.0,,260.0,«,«,«,197.0,«,«,«,58,74,53,52,88,-,-,53,67,42,71
2023,5490,ESC. BASICA COMUDE,LUMACO,4 básico,Región de La Araucanía,1.0,Rural,6,Municipal,Bajo,84.0,87.0,96.0,82.0,242.0,«,«,«,272.0,«,«,«,83,86,92,96,88,84,75,78,96,86,99
2023,1148,LICEO JOSE MANUEL BORGONO NUNEZ,Petorca,4 básico,Región de Valparaíso,0.902173913043478,Urbano,466,Municipal,Medio bajo,80.0,77.0,81.0,70.0,258.0,26.7,46.7,26.7,244.0,62.5,25,12.5,76,83,79,82,70,74,67,70,84,76,82
2023,1148,LICEO JOSE MANUEL BORGONO NUNEZ,Petorca,II medio,Región de Valparaíso,0.932038834951456,Urbano,466,Municipal,Medio bajo,78.0,75.0,80.0,76.0,215.0,73.7,15.8,10.5,231.0,70.7,19.5,9.8,75,81,80,83,78,81,69,70,83,72,79
2023,6781,ESCUELA ALEMANIA,Valdivia,4 básico,Región de Los Ríos,0.836283185840708,Urbano,266,Municipal,Medio,62.0,69.0,62.0,55.0,271.0,34.8,13,52.2,247.0,54.5,31.8,13.6,60,63,59,61,51*,61*,50*,61,73,73,68
2023,4502,ESCUELA BASICA TURQUIA,San Rosendo,4 básico,Región del Biobío,0.857142857142857,Rural,14,Municipal,Medio bajo,85.0,88.0,88.0,74.0,230.0,«,«,«,244.0,«,«,«,85,85,90,83,81,81,60,82,93,90,90
2023,6454,ESCUELA BASICA COLLICO RANCO,Saavedra,4 básico,Región de La Araucanía,1.0,Rural,63,Servicio local de educación,Medio bajo,80.0,84.0,85.0,80.0,265.0,«,«,«,242.0,«,«,«,79,81,92,81,77,89,74,76,93,84,83
2023,5054,ESCUELA BASICA SAN PEDRO DE LARAQUETE,Arauco,4 básico,Región del Biobío,0.864253393665158,Rural,247,Municipal,Medio bajo,81.0,86.0,86.0,76.0,262.0,41.2,23.5,35.3,284.0,17.6,47.1,35.3,79,84,85,88,76,82,70,78,93,88,85
2023,8726,ESCUELA PARTICULAR THOMAS JEFFERSON,Independencia,4 básico,Región Metropolitana de Santiago,0.663529411764706,Urbano,544,Part. subvencionado,Medio alto,72.0,70.0,74.0,68.0,260.0,37,24.1,38.9,254.0,43.6,41.8,14.5,70,73,72,73,70,72,62,66,76,67,76
2023,7142,ESCUELA RURAL CUINCO,LA UNIÓN,4 básico,Región de Los Ríos,0.870967741935484,Rural,50,Municipal,Medio bajo,91.0,96.0,99.0,86.0,367.0,«,«,«,298.0,«,«,«,89,94,98,100,88,88,80,87,100,100,100
2023,15767,COLEGIO DIEGO PORTALES,Machalí,4 básico,Región del Libertador Gral. Bernardo O’Higgins,0.835195530726257,Urbano,595,Part. subvencionado,Medio bajo,78.0,78.0,79.0,72.0,274.0,30.8,25.6,43.6,251.0,47.5,30,22.5,76,81,79,80,72,81,64,70,88,77,77
2023,15767,COLEGIO DIEGO PORTALES,Machalí,II medio,Región del Libertador Gral. Bernardo O’Higgins,0.902857142857143,Urbano,595,Part. subvencionado,Medio bajo,76.0,75.0,82.0,77.0,245.0,58.1,27.9,14,225.0,74.4,20.9,4.7,73,79,76,86,84,78,70,65,86,73,83
2023,24318,ESCUELA PADRE ALBERTO HURTADO CRUCHAGA,Punta Arenas,4 básico,Región de Magallanes y de la Antártica Chilena,0.881873727087576,Urbano,553,Municipal,Medio bajo,71.0,74.0,77.0,66.0,247.0,44.7,25.5,29.8,236.0,57.8,37.8,4.4,68,73,76,77,68,71,59,68,81,72,77
2023,2804,ESC. MANUEL RODRIGUEZ ERDOIZA,Teno,4 básico,Región del Maule,0.942528735632184,Rural,188,Municipal,Medio bajo,83.0,79.0,86.0,76.0,281.0,7.7,61.5,30.8,266.0,41.7,41.7,16.7,82,84,86,92,80,77,71,76,85,78,81
2023,9674,ESCUELA BASICA ALAS DE AGUILA,SAN RAMÓN,4 básico,Región Metropolitana de Santiago,0.915492957746479,Urbano,146,Part. subvencionado,Medio bajo,75.0,72.0,78.0,72.0,259.0,42.9,35.7,21.4,245.0,42.9,50,7.1,72,78,75,77,70,78,68,67,78,71,81
2023,25562,ESC BASICA PART SAN JOSE DE LA FAMILIA,La Pintana,4 básico,Región Metropolitana de Santiago,0.872747747747748,Urbano,1475,Part. subvencionado,Medio bajo,75.0,77.0,79.0,72.0,274.0,22.2,35.4,42.4,256.0,39.4,43.3,17.3,74,76,80,80,72,78,67,69,82,79,78
2023,25562,ESC BASICA PART SAN JOSE DE LA FAMILIA,La Pintana,II medio,Región Metropolitana de Santiago,0.839237057220708,Urbano,1475,Part. subvencionado,Medio bajo,75.0,75.0,80.0,74.0,252.0,45.2,45.2,9.5,261.0,46.8,39,14.3,72,77,84,82,73,79,69,67,84,73,74
2023,6161,COLEGIO ALEMAN VILLARRICA,Villarrica,4 básico,,,,343,Particular pagado,Alto,74.0,86.0,82.0,71.0,335.0,4.3,8.7,87,326.0,4.2,12.5,83.3,73,75,89,81,69,84,59,77,91,88,77
2023,6161,COLEGIO ALEMAN VILLARRICA,Villarrica,II medio,,,,343,Particular pagado,Alto,83.0,83.0,84.0,72.0,304.0,0,38.9,61.1,276.0,29.4,41.2,29.4,82,83,86,84,71,82,63,77,87,84,83
2023,7071,ESCUELA RURAL LAGO AZUL,PANGUIPULLI,4 básico,Región de Los Ríos,1.0,Rural,63,Municipal,Bajo,79.0,87.0,80.0,75.0,307.0,«,«,«,256.0,«,«,«,77*,81*,82*,82*,69*,85*,72*,78*,93*,89*,76*
2023,16456,INSTITUTO CUMBRES DE MAULE,Parral,4 básico,Región del Maule,0.881188118811881,Rural,121,Part. subvencionado,Medio bajo,77.0,76.0,85.0,70.0,255.0,30,60,10,251.0,36.4,63.6,0,75,78,85,85,67,79,62,69,83,75,84
2023,1941,COLEGIO EL BELLOTO,Quilpué,4 básico,Región de Valparaíso,0.832116788321168,Urbano,680,Part. subvencionado,Medio,73.0,72.0,74.0,69.0,263.0,40.6,15.6,43.8,254.0,39.4,39.4,21.2,70,76,78,75,70,73,64,65,75,75,70
2023,1941,COLEGIO EL BELLOTO,Quilpué,II medio,Región de Valparaíso,0.804347826086957,Urbano,680,Part. subvencionado,Medio,73.0,73.0,77.0,62.0,235.0,62.5,25,12.5,251.0,50.8,45.9,3.3,70,76,78,79,58,65,62,68,78,71,74
2023,10372,ESCUELA PARTICULAR ISLA DE PASCUA,INDEPENDENCIA,4 básico,Región Metropolitana de Santiago,0.686695278969957,Urbano,337,Part. subvencionado,Medio,74.0,75.0,79.0,73.0,265.0,29.4,41.2,29.4,242.0,48.6,48.6,2.9,72,77,80,77,72,78,68,68,81,76,80
2023,3130,ESCUELA PEDRO ANTONIO TEJOS TEJOS,Empedrado,4 básico,Región del Maule,0.928571428571429,Rural,112,Municipal,Bajo,75.0,75.0,84.0,70.0,274.0,28.6,28.6,42.9,274.0,28.6,35.7,35.7,72,78,85,83,70,75,65,70,85,71,84
2023,5658,COMPLEJO EDUCACIONAL JAVIERA CARRERA,Temuco,II medio,Región de La Araucanía,0.89237668161435,Urbano,259,Part. subvencionado,Medio bajo,72.0,73.0,77.0,68.0,216.0,69.4,19.4,11.1,215.0,78,22,0,70,73,79,76,68,69,65,65,76,78,77
2023,22065,COLEGIO SAN FRANCISCO DE ASIS,CASTRO,4 básico,Región de Los Lagos,0.640564826700899,Urbano,1274,Part. subvencionado,Medio alto,76.0,76.0,80.0,72.0,284.0,14.4,34.4,51.1,273.0,21.6,48.9,29.5,75,78,82,83,72,76,68,72,82,75,74
2023,22065,COLEGIO SAN FRANCISCO DE ASIS,CASTRO,II medio,Región de Los Lagos,0.588888888888889,Urbano,1274,Part. subvencionado,Medio,74.0,70.0,77.0,66.0,229.0,63,28.8,8.2,240.0,59.3,32.1,8.6,73,76,76,79,64,70,64,67,76,66,76
2023,7203,ESCUELA OLEGARIO MORALES OLIVA,PAILLACO,4 básico,Región de Los Ríos,0.89058524173028,Urbano,469,Municipal,Medio bajo,78.0,78.0,81.0,73.0,265.0,30.3,48.5,21.2,256.0,31.3,53.1,15.6,76,80,80,80,74,79,67,71,86,78,82
2023,8661,ESCUELA PARTICULAR GUILLERMO MATTA,Santiago,4 básico,Región Metropolitana de Santiago,0.691823899371069,Urbano,861,Part. subvencionado,Medio alto,77.0,75.0,78.0,68.0,296.0,12.6,24.1,63.2,285.0,17.2,43.7,39.1,75,78,77,80,69,72,64,68,80,77,78
2023,13133,ESCUELA MANUEL RODRÍGUEZ,COPIAPÓ,4 básico,Región de Atacama,0.895161290322581,Urbano,313,Servicio local de educación,Medio,,,,,,«,«,«,,«,«,«,-,-,-,-,-,-,-,-,-,-,-
2023,25666,COLEGIO  INSTITUTO PASCAL,Providencia,4 básico,,,,263,Particular pagado,Alto,71.0,72.0,76.0,72.0,283.0,22.2,27.8,50,274.0,27.8,44.4,27.8,71,72,76,75,71,78,66,67,78,71,76
2023,25666,COLEGIO  INSTITUTO PASCAL,Providencia,II medio,,,,263,Particular pagado,Alto,70.0,76.0,78.0,60.0,246.0,45,50,5,276.0,36.8,47.4,15.8,68,73,73,78,60,65,56,69,83,75,81
2023,798,ESCUELA EL PALQUI,MONTE PATRIA,4 básico,Región de Coquimbo,0.91703056768559,Urbano,784,Municipal,Medio bajo,77.0,78.0,80.0,74.0,276.0,18.6,37.2,44.2,277.0,21.8,44.8,33.3,75,80,80,81,74,82,66,70,85,80,79
2023,800,ESCUELA HUATULAME,Monte Patria,4 básico,Región de Coquimbo,0.846153846153846,Urbano,157,Municipal,Bajo,77.0,75.0,85.0,76.0,227.0,63.2,31.6,5.3,223.0,68.4,15.8,15.8,70,83,84,85,77,79,73,69,84,72,87
2023,8003,ESCUELA LUIS URIBE DIAZ,Castro,4 básico,Región de Los Lagos,0.859126984126984,Urbano,544,Municipal,Medio bajo,73.0,71.0,74.0,70.0,267.0,28.2,33.3,38.5,263.0,26.2,52.4,21.4,72,75,74,77,70,74,65,66,77,71,71
2023,8756,COLEGIO EXCELSIOR,Santiago,4 básico,Región Metropolitana de Santiago,0.524714828897338,Urbano,1556,Part. subvencionado,Medio alto,71.0,74.0,76.0,70.0,292.0,14,24.4,61.6,265.0,33.7,41.6,24.7,69,72,78,78,69,80,60,68,80,72,74
2023,8756,COLEGIO EXCELSIOR,Santiago,II medio,Región Metropolitana de Santiago,0.545180722891566,Urbano,1556,Part. subvencionado,Medio alto,65.0,68.0,70.0,57.0,235.0,58.3,27.3,14.4,242.0,61,30.9,8.1,63,67,68,72,57,66,49,65,72,67,70
